CaseMasterID,ActID,SectionID,ActOrderID,SectionOrderID
1,ITA,67,1,1
2,ITA,67,1,1
3,ITA,66C,1,1
4,ITA,66D,1,1
5,PMLA,3,1,1
6,ITA,66C,1,1
7,ITA,66C,1,1
8,ITA,66C,1,1
9,ITA,66C,1,1
10,PMLA,3,1,1
11,IPC,302,1,1
12,ITA,66C,1,1
13,ITA,67,1,1
14,IPC,379,1,1
15,ITA,66D,1,1
16,ITA,66C,1,1
17,ITA,66C,1,1
18,NDPS,20,1,1
19,ITA,66D,1,1
20,ITA,66C,1,1
21,ITA,67,1,1
22,ITA,66C,1,1
23,ITA,66D,1,1
24,NDPS,20,1,1
25,NDPS,20,1,1
26,IPC,302,1,1
27,ITA,67,1,1
28,ITA,67,1,1
29,ITA,66D,1,1
30,ITA,66C,1,1
31,ITA,67,1,1
32,ITA,66D,1,1
33,PMLA,3,1,1
34,ITA,66C,1,1
35,PMLA,3,1,1
36,ITA,66C,1,1
37,IPC,302,1,1
38,ITA,66D,1,1
39,ITA,66D,1,1
40,ITA,66C,1,1
41,ITA,67,1,1
42,PMLA,3,1,1
43,ITA,66C,1,1
44,ITA,67,1,1
45,ITA,66C,1,1
46,ITA,66C,1,1
47,IPC,379,1,1
48,ITA,66D,1,1
49,NDPS,20,1,1
50,ITA,66D,1,1
51,ITA,66D,1,1
52,PMLA,3,1,1
53,ITA,66D,1,1
54,ITA,67,1,1
55,PMLA,3,1,1
56,PMLA,3,1,1
57,ITA,66D,1,1
58,IPC,379,1,1
59,ITA,66C,1,1
60,PMLA,3,1,1
61,ITA,66C,1,1
62,IPC,379,1,1
63,ITA,66C,1,1
64,ITA,67,1,1
65,IPC,302,1,1
66,ITA,66D,1,1
67,IPC,302,1,1
68,PMLA,3,1,1
69,ITA,66C,1,1
70,ITA,66C,1,1
71,ITA,67,1,1
72,ITA,66C,1,1
73,ITA,67,1,1
74,IPC,379,1,1
75,PMLA,3,1,1
76,ITA,66C,1,1
77,ITA,66C,1,1
78,ITA,66C,1,1
79,ITA,66D,1,1
80,ITA,66C,1,1
81,ITA,66D,1,1
82,PMLA,3,1,1
83,ITA,67,1,1
84,ITA,66D,1,1
85,ITA,66C,1,1
86,PMLA,3,1,1
87,PMLA,3,1,1
88,ITA,67,1,1
89,ITA,67,1,1
90,ITA,66C,1,1
91,ITA,66D,1,1
92,ITA,66C,1,1
93,PMLA,3,1,1
94,IPC,379,1,1
95,ITA,66C,1,1
96,ITA,66C,1,1
97,ITA,67,1,1
98,ITA,66D,1,1
99,ITA,67,1,1
100,ITA,67,1,1
101,ITA,67,1,1
102,NDPS,20,1,1
103,IPC,379,1,1
104,PMLA,3,1,1
105,ITA,66C,1,1
106,ITA,66C,1,1
107,ITA,66C,1,1
108,ITA,66C,1,1
109,IPC,379,1,1
110,PMLA,3,1,1
111,ITA,66D,1,1
112,ITA,66D,1,1
113,ITA,66C,1,1
114,ITA,66D,1,1
115,IPC,302,1,1
116,ITA,66D,1,1
117,PMLA,3,1,1
118,ITA,66D,1,1
119,IPC,363,1,1
120,ITA,66D,1,1
121,ITA,66C,1,1
122,PMLA,3,1,1
123,ITA,66D,1,1
124,ITA,66D,1,1
125,PMLA,3,1,1
126,ITA,66C,1,1
127,ITA,66D,1,1
128,ITA,67,1,1
129,PMLA,3,1,1
130,PMLA,3,1,1
131,IPC,379,1,1
132,ITA,66C,1,1
133,IPC,379,1,1
134,ITA,66C,1,1
135,ITA,66C,1,1
136,ITA,66C,1,1
137,ITA,66D,1,1
138,ITA,66C,1,1
139,ITA,66C,1,1
140,IPC,379,1,1
141,ITA,67,1,1
142,PMLA,3,1,1
143,ITA,66D,1,1
144,ITA,66C,1,1
145,ITA,66C,1,1
146,ITA,67,1,1
147,ITA,66D,1,1
148,ITA,66D,1,1
149,ITA,66D,1,1
150,ITA,66C,1,1
151,IPC,379,1,1
152,ITA,66D,1,1
153,PMLA,3,1,1
154,ITA,66C,1,1
155,PMLA,3,1,1
156,ITA,66C,1,1
157,ITA,66D,1,1
158,PMLA,3,1,1
159,ITA,66D,1,1
160,ITA,66D,1,1
161,ITA,67,1,1
162,ITA,67,1,1
163,PMLA,3,1,1
164,PMLA,3,1,1
165,ITA,66C,1,1
166,ITA,66C,1,1
167,ITA,66D,1,1
168,ITA,66D,1,1
169,NDPS,20,1,1
170,NDPS,20,1,1
171,ITA,67,1,1
172,ITA,67,1,1
173,ITA,66C,1,1
174,PMLA,3,1,1
175,ITA,66D,1,1
176,ITA,66D,1,1
177,PMLA,3,1,1
178,ITA,66C,1,1
179,PMLA,3,1,1
180,ITA,66D,1,1
181,ITA,66D,1,1
182,ITA,66D,1,1
183,ITA,66C,1,1
184,ITA,66C,1,1
185,PMLA,3,1,1
186,ITA,66D,1,1
187,ITA,67,1,1
188,PMLA,3,1,1
189,ITA,67,1,1
190,ITA,66C,1,1
191,ITA,67,1,1
192,PMLA,3,1,1
193,PMLA,3,1,1
194,ITA,66C,1,1
195,NDPS,20,1,1
196,ITA,66C,1,1
197,ITA,66C,1,1
198,ITA,66C,1,1
199,ITA,66D,1,1
200,IPC,379,1,1
201,ITA,66D,1,1
202,IPC,379,1,1
203,PMLA,3,1,1
204,IPC,302,1,1
205,ITA,66C,1,1
206,ITA,66D,1,1
207,ITA,66C,1,1
208,PMLA,3,1,1
209,ITA,66D,1,1
210,IPC,379,1,1
211,ITA,66C,1,1
212,ITA,66C,1,1
213,PMLA,3,1,1
214,ITA,66C,1,1
215,IPC,379,1,1
216,ITA,66D,1,1
217,ITA,66C,1,1
218,ITA,67,1,1
219,ITA,66D,1,1
220,IPC,379,1,1
221,ITA,66C,1,1
222,ITA,66C,1,1
223,ITA,66C,1,1
224,ITA,66C,1,1
225,ITA,66C,1,1
226,IPC,363,1,1
227,ITA,66C,1,1
228,ITA,66C,1,1
229,ITA,67,1,1
230,ITA,66C,1,1
231,ITA,66C,1,1
232,PMLA,3,1,1
233,ITA,66C,1,1
234,PMLA,3,1,1
235,ITA,66C,1,1
236,ITA,67,1,1
237,ITA,66C,1,1
238,ITA,66C,1,1
239,ITA,66C,1,1
240,ITA,66C,1,1
241,ITA,66C,1,1
242,ITA,67,1,1
243,ITA,66C,1,1
244,ITA,66C,1,1
245,PMLA,3,1,1
246,PMLA,3,1,1
247,ITA,67,1,1
248,ITA,66C,1,1
249,ITA,66C,1,1
250,IPC,379,1,1
251,ITA,66D,1,1
252,ITA,67,1,1
253,ITA,66D,1,1
254,ITA,67,1,1
255,ITA,66C,1,1
256,ITA,66C,1,1
257,ITA,66C,1,1
258,ITA,66C,1,1
259,IPC,379,1,1
260,ITA,67,1,1
261,ITA,66D,1,1
262,ITA,66C,1,1
263,ITA,67,1,1
264,ITA,67,1,1
265,PMLA,3,1,1
266,ITA,66C,1,1
267,ITA,67,1,1
268,IPC,379,1,1
269,PMLA,3,1,1
270,IPC,379,1,1
271,ITA,67,1,1
272,ITA,66C,1,1
273,ITA,66C,1,1
274,ITA,66C,1,1
275,PMLA,3,1,1
276,ITA,66C,1,1
277,ITA,66C,1,1
278,ITA,66C,1,1
279,ITA,67,1,1
280,PMLA,3,1,1
281,ITA,66C,1,1
282,ITA,66C,1,1
283,PMLA,3,1,1
284,NDPS,20,1,1
285,ITA,66C,1,1
286,IPC,379,1,1
287,ITA,66C,1,1
288,IPC,363,1,1
289,ITA,66C,1,1
290,ITA,66C,1,1
291,ITA,66C,1,1
292,ITA,66C,1,1
293,PMLA,3,1,1
294,ITA,67,1,1
295,PMLA,3,1,1
296,ITA,66C,1,1
297,ITA,66C,1,1
298,ITA,66C,1,1
299,ITA,66C,1,1
300,ITA,67,1,1
301,ITA,66D,1,1
302,ITA,66C,1,1
303,PMLA,3,1,1
304,ITA,66C,1,1
305,ITA,66C,1,1
306,ITA,67,1,1
307,ITA,66C,1,1
308,ITA,66D,1,1
309,IPC,302,1,1
310,ITA,66D,1,1
311,ITA,67,1,1
312,ITA,66C,1,1
313,IPC,302,1,1
314,ITA,66C,1,1
315,ITA,66D,1,1
316,ITA,66C,1,1
317,NDPS,20,1,1
318,ITA,66C,1,1
319,IPC,302,1,1
320,ITA,67,1,1
321,ITA,66C,1,1
322,IPC,302,1,1
323,ITA,66C,1,1
324,ITA,66D,1,1
325,ITA,66C,1,1
326,ITA,66C,1,1
327,ITA,66C,1,1
328,PMLA,3,1,1
329,ITA,66D,1,1
330,ITA,66D,1,1
331,ITA,66C,1,1
332,ITA,66C,1,1
333,ITA,66C,1,1
334,PMLA,3,1,1
335,ITA,66C,1,1
336,ITA,66C,1,1
337,ITA,66D,1,1
338,ITA,66C,1,1
339,ITA,66C,1,1
340,ITA,66C,1,1
341,ITA,66C,1,1
342,ITA,66C,1,1
343,ITA,67,1,1
344,ITA,66C,1,1
345,ITA,66D,1,1
346,ITA,66C,1,1
347,ITA,66C,1,1
348,IPC,379,1,1
349,ITA,66D,1,1
350,ITA,67,1,1
351,ITA,66C,1,1
352,ITA,66C,1,1
353,ITA,66C,1,1
354,ITA,66C,1,1
355,ITA,66D,1,1
356,ITA,67,1,1
357,ITA,66C,1,1
358,ITA,67,1,1
359,PMLA,3,1,1
360,ITA,66C,1,1
361,ITA,67,1,1
362,IPC,379,1,1
363,IPC,302,1,1
364,PMLA,3,1,1
365,IPC,302,1,1
366,ITA,66D,1,1
367,ITA,66D,1,1
368,PMLA,3,1,1
369,ITA,66D,1,1
370,ITA,66C,1,1
371,ITA,66C,1,1
372,ITA,66D,1,1
373,ITA,66C,1,1
374,ITA,67,1,1
375,ITA,67,1,1
376,ITA,67,1,1
377,ITA,66C,1,1
378,PMLA,3,1,1
379,ITA,66D,1,1
380,ITA,66C,1,1
381,ITA,66C,1,1
382,ITA,66D,1,1
383,ITA,66C,1,1
384,ITA,66C,1,1
385,ITA,66C,1,1
386,ITA,66D,1,1
387,ITA,66C,1,1
388,ITA,67,1,1
389,ITA,66C,1,1
390,ITA,66C,1,1
391,ITA,67,1,1
392,ITA,66C,1,1
393,ITA,66C,1,1
394,ITA,66C,1,1
395,ITA,67,1,1
396,ITA,66C,1,1
397,ITA,67,1,1
398,IPC,379,1,1
399,ITA,67,1,1
400,IPC,302,1,1
401,NDPS,20,1,1
402,IPC,363,1,1
403,ITA,66D,1,1
404,ITA,66C,1,1
405,PMLA,3,1,1
406,IPC,302,1,1
407,ITA,66D,1,1
408,ITA,66C,1,1
409,ITA,66C,1,1
410,ITA,66D,1,1
411,IPC,379,1,1
412,ITA,66C,1,1
413,ITA,66C,1,1
414,ITA,66C,1,1
415,IPC,379,1,1
416,ITA,66D,1,1
417,ITA,66C,1,1
418,ITA,66C,1,1
419,ITA,67,1,1
420,PMLA,3,1,1
421,ITA,67,1,1
422,ITA,66D,1,1
423,PMLA,3,1,1
424,IPC,379,1,1
425,PMLA,3,1,1
426,ITA,66D,1,1
427,ITA,67,1,1
428,ITA,66C,1,1
429,ITA,66C,1,1
430,PMLA,3,1,1
431,ITA,66D,1,1
432,ITA,66C,1,1
433,PMLA,3,1,1
434,ITA,66D,1,1
435,ITA,67,1,1
436,ITA,66D,1,1
437,ITA,66D,1,1
438,IPC,379,1,1
439,PMLA,3,1,1
440,NDPS,20,1,1
441,ITA,67,1,1
442,ITA,66D,1,1
443,ITA,66C,1,1
444,ITA,66D,1,1
