ArrestSurrenderID,CaseMasterID,ArrestSurrenderTypeID,ArrestSurrenderDate,ArrestSurrenderStateId,ArrestSurrenderDistrictId,PoliceStationID,IOID,CourtID,AccusedMasterID,IsAccused,IsComplainantAccused
1,1,1,2022-09-20T12:24:34,1,21,1,1,22,1,1,
2,2,2,2026-06-07T00:04:02,1,4,2,2,4,5,1,
3,7,1,2021-04-15T12:19:11,1,2,4,4,2,12,1,
4,9,2,2023-09-09T12:04:11,1,7,7,7,7,15,1,
5,11,1,2021-10-19T22:16:20,1,10,9,9,10,17,1,
6,12,1,2023-04-11T19:28:32,1,27,10,10,28,19,1,
7,14,1,2024-10-12T07:49:26,1,24,12,12,25,23,1,
8,16,2,2023-11-24T21:36:27,1,10,9,14,10,28,1,
9,17,2,2025-10-22T14:06:59,1,29,14,15,17,29,1,
10,20,2,2025-01-31T02:04:30,1,16,17,18,17,34,1,
11,21,2,2023-08-09T00:42:19,1,10,18,19,17,36,1,
12,22,2,2022-08-06T12:09:05,1,16,17,20,16,37,1,
13,24,1,2025-01-13T09:30:55,1,31,20,22,32,44,1,
14,26,2,2025-08-14T06:28:43,1,17,22,24,18,48,1,
15,27,2,2023-11-22T17:57:19,1,31,23,25,32,51,1,
16,28,2,2025-12-29T10:20:51,1,23,24,26,24,54,1,
17,29,2,2026-03-14T01:02:48,1,9,25,27,9,55,1,
18,33,2,2021-06-15T19:09:15,1,1,28,30,1,63,1,
19,34,2,2025-02-07T05:28:46,1,31,23,31,32,64,1,
20,35,2,2024-09-09T19:02:50,1,14,29,32,17,67,1,
21,36,2,2025-10-04T14:09:36,1,8,8,8,8,69,1,
22,37,2,2023-10-10T08:44:28,1,12,30,33,12,70,1,
23,38,1,2026-01-29T05:17:42,1,14,29,34,14,72,1,
24,39,2,2024-09-10T08:57:55,1,1,28,35,1,73,1,
25,40,2,2021-09-12T00:15:32,1,21,31,36,22,74,1,
26,41,2,2022-04-26T05:11:58,1,30,26,37,31,77,1,
27,45,2,2021-11-10T18:10:23,1,28,35,41,17,82,1,
28,46,1,2023-08-01T19:27:39,1,4,2,42,4,83,1,
29,47,2,2025-11-21T11:46:15,1,1,28,43,1,84,1,
30,48,1,2023-12-25T05:20:15,1,1,28,43,1,86,1,
31,49,2,2023-07-11T19:39:51,1,23,16,44,24,87,1,
32,50,2,2024-05-31T00:47:07,1,4,2,2,4,89,1,
33,61,1,2023-11-08T11:00:50,1,27,3,53,28,108,1,
34,70,2,2026-02-01T09:08:47,1,27,3,3,28,120,1,
35,72,2,2024-08-05T14:50:41,1,13,45,62,17,123,1,
36,75,2,2025-07-12T16:03:14,1,31,20,64,17,127,1,
37,77,1,2022-09-04T04:07:11,1,18,46,66,19,130,1,
38,78,1,2022-03-20T21:06:40,1,2,4,67,2,134,1,
39,79,2,2021-03-01T22:11:30,1,1,28,43,1,135,1,
40,84,1,2021-10-14T22:27:54,1,11,48,71,11,147,1,
41,86,1,2023-09-29T03:31:36,1,20,19,73,21,149,1,
42,91,2,2022-09-10T14:55:23,1,6,47,78,6,158,1,
43,92,1,2023-01-26T13:16:19,1,5,49,79,5,159,1,
44,94,2,2023-06-29T05:48:08,1,19,5,54,20,163,1,
45,96,1,2026-05-24T09:47:52,1,23,16,82,24,166,1,
46,104,1,2021-08-19T08:39:58,1,20,53,88,21,176,1,
47,106,2,2023-11-14T00:13:57,1,9,54,90,9,178,1,
48,108,2,2021-09-09T23:40:50,1,24,12,56,25,182,1,
49,110,1,2022-10-03T04:24:04,1,24,12,92,17,187,1,
50,111,2,2026-01-24T02:56:49,1,21,31,93,17,189,1,
51,114,1,2025-04-05T10:51:55,1,30,26,96,31,192,1,
52,115,1,2024-02-03T04:20:23,1,21,1,97,22,196,1,
53,118,1,2021-05-03T02:46:55,1,10,9,14,17,201,1,
54,119,1,2024-05-25T08:44:35,1,31,23,25,32,204,1,
55,123,2,2025-11-16T18:14:49,1,4,42,102,17,211,1,
56,124,1,2025-03-02T06:42:04,1,26,38,103,27,212,1,
57,127,1,2024-04-25T20:46:13,1,30,33,104,31,219,1,
58,130,1,2023-10-08T20:40:32,1,5,49,106,17,225,1,
59,134,1,2026-07-13T20:19:37,1,27,10,110,17,232,1,
60,136,1,2023-08-02T03:08:54,1,31,20,64,32,237,1,
61,140,2,2024-08-29T23:27:21,1,14,6,6,14,241,1,
62,143,2,2021-12-02T23:31:22,1,2,4,113,2,247,1,
63,145,1,2024-06-29T12:38:20,1,17,56,115,18,250,1,
64,146,1,2023-07-18T23:00:49,1,21,1,97,17,252,1,
65,148,2,2026-01-26T22:32:07,1,6,43,116,6,257,1,
66,151,2,2023-01-23T04:11:45,1,3,40,119,3,263,1,
67,153,1,2025-10-09T23:52:27,1,8,13,121,8,266,1,
