CaseMasterID,CrimeNo,CaseNo,CrimeRegisteredDate,PolicePersonID,PoliceStationID,CaseCategoryID,GravityOffenceID,CrimeMajorHeadID,CrimeMinorHeadID,CaseStatusID,CourtID,BriefFacts
1,100210438202200001,202200001,2022-09-12,1,1,1,1,2,5,1,22,"On 10-09-2022, a case of Dark Web Crime was reported at Mandya Town PS, Mandya district. Investigation taken up under IT Act."
2,100040173202600001,202600001,2026-05-31,2,2,1,1,2,5,3,4,"On 30-05-2026, a case of Dark Web Crime was reported at Bengaluru Rural Rural PS, Bengaluru Rural district. Investigation taken up under IT Act."
3,100270812202300001,202300001,2023-02-07,3,3,1,2,2,4,3,28,"On 06-02-2023, a case of Cyber Crime was reported at Udupi Town PS, Udupi district. Investigation taken up under IT Act."
4,100020891202300002,202300002,2023-07-02,4,4,1,2,2,3,3,2,"On 01-07-2023, a case of Cryptocurrency Crime was reported at Ballari Town PS, Ballari district. Investigation taken up under IT Act."
5,100270812202400001,202400001,2024-03-08,3,3,1,1,3,6,2,28,"On 07-03-2024, a case of Money Laundering was reported at Udupi Town PS, Udupi district. Investigation taken up under PMLA."
6,100190539202300003,202300003,2023-08-29,5,5,1,2,2,4,3,20,"On 27-08-2023, a case of Cyber Crime was reported at Kolar Town PS, Kolar district. Investigation taken up under IT Act."
7,300020891202100001,202100001,2021-04-09,4,4,3,2,2,4,1,2,"On 08-04-2021, a case of Cyber Crime was reported at Ballari Town PS, Ballari district. Investigation taken up under IT Act."
8,100140846202500001,202500001,2025-09-06,6,6,1,2,2,4,2,14,"On 06-09-2025, a case of Cyber Crime was reported at Gadag Rural PS, Gadag district. Investigation taken up under IT Act."
9,300070898202300004,202300004,2023-09-02,7,7,3,2,2,4,1,7,"On 02-09-2023, a case of Cyber Crime was reported at Chamarajanagar Rural PS, Chamarajanagar district. Investigation taken up under IT Act."
10,100080234202100002,202100002,2021-08-03,8,8,1,1,3,6,3,8,"On 02-08-2021, a case of Money Laundering was reported at Chikkaballapur Town PS, Chikkaballapur district. Investigation taken up under PMLA."
11,200100777202100003,202100003,2021-10-15,9,9,2,1,1,2,3,10,"On 14-10-2021, a case of Murder was reported at Chitradurga Town PS, Chitradurga district. Investigation taken up under IPC."
12,100270523202300005,202300005,2023-04-11,10,10,1,2,2,4,3,28,"On 09-04-2023, a case of Cyber Crime was reported at Udupi Rural PS, Udupi district. Investigation taken up under IT Act."
13,300130693202300006,202300006,2023-03-05,11,11,3,1,2,5,3,13,"On 03-03-2023, a case of Dark Web Crime was reported at Dharwad Rural PS, Dharwad district. Investigation taken up under IT Act."
14,100240993202400002,202400002,2024-10-06,12,12,1,2,5,8,1,25,"On 05-10-2024, a case of Theft was reported at Ramanagara Rural PS, Ramanagara district. Investigation taken up under IPC."
15,100080382202500002,202500002,2025-04-19,13,13,1,2,2,3,2,8,"On 18-04-2025, a case of Cryptocurrency Crime was reported at Chikkaballapur Rural PS, Chikkaballapur district. Investigation taken up under IT Act."
