CSID,CaseMasterID,csdate,cstype,PolicePersonID
1,1,2022-12-07T12:24:34,C,1
2,7,2021-05-17T12:19:11,C,4
3,9,2023-10-14T12:04:11,C,7
4,14,2024-11-04T07:49:26,A,12
5,17,2025-11-13T14:06:59,C,15
6,20,2025-04-19T02:04:30,B,18
7,22,2022-10-04T12:09:05,C,20
8,26,2025-09-22T06:28:43,B,24
9,27,2023-12-24T17:57:19,C,25
10,28,2026-03-13T10:20:51,C,26
11,29,2026-04-24T01:02:48,B,27
12,33,2021-09-01T19:09:15,C,30
13,34,2025-05-02T05:28:46,C,31
14,39,2024-11-20T08:57:55,C,35
15,40,2021-11-28T00:15:32,C,36
16,41,2022-05-25T05:11:58,C,37
17,46,2023-09-27T19:27:39,B,42
18,47,2026-01-12T11:46:15,C,43
19,48,2024-01-31T05:20:15,A,43
20,61,2023-12-29T11:00:50,A,53
21,70,2026-03-04T09:08:47,C,3
22,77,2022-10-03T04:07:11,C,66
23,79,2021-05-05T22:11:30,B,43
24,84,2021-12-21T22:27:54,A,71
25,86,2023-12-27T03:31:36,A,73
26,91,2022-10-10T14:55:23,C,78
27,94,2023-09-26T05:48:08,A,54
28,106,2023-12-17T00:13:57,C,90
29,108,2021-10-30T23:40:50,B,56
30,110,2022-12-26T04:24:04,A,92
31,111,2026-03-19T02:56:49,A,93
32,114,2025-07-01T10:51:55,A,96
33,115,2024-03-14T04:20:23,A,97
34,118,2021-07-29T02:46:55,B,14
35,124,2025-04-03T06:42:04,A,103
36,130,2024-01-03T20:40:32,C,106
37,136,2023-09-19T03:08:54,B,64
38,143,2022-02-13T23:31:22,C,113
39,145,2024-07-31T12:38:20,B,115
40,148,2026-03-01T22:32:07,B,116
41,151,2023-02-14T04:11:45,A,119
42,153,2025-12-31T23:52:27,A,121
43,157,2024-12-30T07:37:22,C,123
44,158,2022-05-28T22:43:15,A,124
45,160,2025-02-01T19:53:32,C,125
46,169,2025-01-01T21:29:56,C,73
47,172,2025-10-28T11:37:59,A,46
48,177,2022-05-25T05:44:12,A,130
49,178,2025-08-05T18:31:18,B,132
50,180,2025-05-28T02:56:45,B,134
51,181,2023-03-30T15:25:02,B,106
52,182,2024-07-10T09:59:09,B,135
53,184,2021-04-28T01:37:31,B,78
54,189,2025-11-09T14:13:26,A,139
55,195,2023-03-06T14:01:11,C,142
56,207,2023-02-11T20:12:58,A,149
57,210,2021-12-17T16:44:11,A,150
58,215,2025-12-09T23:57:31,B,153
59,225,2021-10-10T05:07:02,A,157
60,226,2023-12-25T15:58:24,B,96
61,228,2024-10-22T05:03:49,B,19
62,232,2023-03-01T15:29:44,A,159
63,233,2022-06-07T18:54:06,A,160
64,234,2024-05-18T07:31:40,A,161
65,235,2026-05-09T11:44:39,A,20
66,238,2024-02-01T18:58:19,B,3
67,239,2025-08-26T12:31:02,B,135
68,242,2025-02-06T02:59:28,C,163
69,243,2022-11-05T21:30:10,A,164
70,244,2024-12-22T17:45:56,B,59
71,247,2026-02-05T20:07:00,A,59
72,248,2025-12-14T04:19:55,C,166
73,250,2022-11-07T20:14:47,B,168
74,254,2025-09-05T05:49:44,C,31
75,259,2025-10-11T15:06:12,B,172
76,261,2022-08-26T06:38:41,B,173
77,262,2023-04-16T00:39:56,A,120
78,263,2021-05-29T17:12:14,B,174
79,268,2022-05-01T15:45:03,C,104
80,276,2025-11-30T23:26:51,A,15
81,279,2024-08-21T09:51:37,C,128
82,280,2021-07-30T05:47:05,C,39
83,281,2024-03-19T05:05:17,C,170
84,283,2024-09-30T14:13:27,C,97
85,285,2021-07-21T23:21:20,A,20
86,289,2026-06-14T00:02:26,A,183
87,292,2023-10-08T20:13:21,B,19
88,297,2026-05-30T06:32:00,A,165
89,298,2022-03-12T18:38:49,A,146
90,301,2022-02-07T09:41:42,C,26
91,302,2025-12-25T17:57:45,C,10
92,303,2022-05-31T12:15:36,C,172
93,306,2022-12-22T04:07:22,B,187
94,307,2025-05-02T19:16:24,B,106
95,309,2022-02-05T02:35:55,B,147
96,316,2021-07-30T03:30:01,C,160
97,318,2023-04-05T16:25:25,C,180
98,320,2023-01-12T02:33:13,A,39
99,321,2023-06-22T00:20:20,C,165
100,330,2021-06-05T16:39:01,C,50
101,337,2021-04-14T13:04:54,A,5
102,338,2023-06-08T12:07:36,C,195
103,340,2023-10-08T04:03:45,A,3
104,343,2024-02-20T15:04:49,A,196
105,344,2026-05-01T06:55:11,B,108
106,347,2023-08-31T19:16:07,B,186
107,356,2024-09-12T18:59:00,C,198
108,357,2024-08-18T20:54:19,A,186
109,362,2023-04-28T08:33:58,A,202
110,364,2025-10-24T18:59:07,B,16
111,365,2021-03-07T23:29:02,A,203
112,366,2025-12-05T02:05:15,B,204
113,367,2024-01-07T08:32:51,B,7
114,369,2023-07-05T04:42:40,C,22
115,375,2026-07-12T05:15:42,B,75
116,377,2024-01-23T08:30:03,A,18
117,378,2025-04-15T21:37:52,C,207
118,382,2026-06-25T11:22:39,B,209
119,385,2026-02-26T13:22:46,C,128
120,386,2023-08-28T09:50:25,C,183
121,392,2023-01-02T11:26:32,B,123
122,393,2022-11-06T02:14:30,B,159
123,394,2024-01-11T03:55:29,C,134
124,397,2022-04-13T19:43:44,B,43
125,407,2025-07-17T16:19:01,B,216
126,415,2022-09-04T17:44:06,C,218
127,417,2026-04-30T03:48:38,C,208
128,419,2021-08-17T03:41:11,B,219
129,425,2024-07-13T15:37:40,C,21
130,430,2024-06-22T03:58:47,A,4
131,435,2024-12-23T20:39:40,B,182
132,440,2026-03-12T22:50:39,B,202
133,444,2024-12-27T17:55:14,B,134
134,458,2022-09-10T23:39:44,C,113
135,459,2022-12-18T11:28:02,C,100
136,460,2022-02-03T17:22:11,C,196
137,462,2026-02-20T05:59:46,A,71
138,465,2022-03-03T12:10:33,A,82
139,469,2023-04-03T03:14:19,A,87
140,476,2025-09-20T19:13:50,B,63
141,477,2024-03-26T20:41:15,B,183
142,479,2022-03-21T09:48:01,A,24
143,483,2024-03-23T08:42:01,A,120
144,485,2022-12-25T04:03:08,A,155
145,487,2026-03-04T17:17:35,C,173
146,488,2022-12-14T18:41:42,B,54
147,491,2024-07-03T12:22:18,B,13
148,498,2024-02-24T02:04:06,A,67
149,503,2025-12-24T22:34:27,A,181
150,508,2022-04-02T14:48:54,A,230
151,509,2023-01-08T20:55:33,C,192
152,515,2021-03-09T04:48:36,B,150
153,517,2023-06-02T01:59:40,A,80
154,526,2021-08-29T02:24:22,A,234
155,530,2026-10-01T01:48:45,B,43
156,531,2022-07-26T03:24:16,C,235
157,532,2023-12-23T10:54:13,A,51
158,533,2021-06-26T06:06:31,B,160
159,539,2021-09-10T11:28:42,A,25
160,540,2026-05-25T11:07:21,A,162
161,542,2022-04-15T02:20:39,B,33
162,543,2025-08-28T17:20:59,C,236
163,545,2021-10-16T06:16:37,C,222
164,549,2025-03-05T20:13:20,A,239
165,555,2025-03-09T21:24:52,B,240
166,559,2024-06-26T18:53:13,B,241
167,562,2022-12-14T23:29:26,C,242
168,566,2026-06-27T13:45:49,C,165
169,567,2023-01-22T15:05:43,C,15
170,573,2021-04-19T00:47:26,C,78
171,581,2024-04-22T01:39:11,B,240
172,582,2022-10-09T23:01:11,B,244
173,583,2026-07-25T08:09:53,A,234
174,585,2025-06-04T22:40:19,C,20
175,587,2021-03-11T08:47:37,C,186
176,588,2025-02-01T11:05:04,B,165
177,594,2026-02-11T21:42:49,A,119
178,596,2024-04-01T17:45:11,C,246
179,600,2025-04-02T10:41:02,C,225
180,603,2021-03-27T20:31:26,C,214
181,616,2023-12-31T11:16:15,B,248
182,618,2021-04-11T12:15:25,B,136
183,622,2026-04-26T07:42:42,B,146
184,626,2023-06-05T14:07:03,B,54
185,627,2023-04-04T11:31:44,C,4
186,628,2024-12-18T23:45:56,B,43
187,636,2025-10-24T23:20:32,C,13
188,638,2025-05-31T03:53:07,B,153
189,640,2023-11-24T00:29:54,A,175
190,643,2022-09-24T14:09:44,A,3
191,648,2025-09-18T22:16:50,C,20
192,649,2021-11-21T15:27:16,B,253
193,651,2026-08-07T21:13:59,C,221
194,661,2021-12-29T22:13:32,A,121
195,662,2021-06-07T14:32:39,B,46
196,664,2024-03-03T08:57:43,B,210
197,667,2021-06-05T04:14:36,B,181
198,668,2025-04-30T16:28:04,B,196
199,681,2023-10-02T04:22:37,B,169
200,687,2024-06-23T11:20:36,C,90
201,691,2023-03-10T00:05:57,C,242
202,693,2023-10-28T18:00:28,A,140
203,696,2025-11-15T17:27:52,A,178
204,700,2024-05-08T22:49:32,C,47
205,705,2021-12-01T03:56:13,B,216
206,707,2025-07-23T21:53:39,A,75
207,708,2026-04-17T06:47:39,C,190
208,709,2022-08-04T18:20:57,B,173
209,731,2022-06-19T11:29:34,C,43
210,733,2024-03-31T15:24:06,C,147
211,739,2024-08-09T08:29:33,B,203
212,740,2024-03-24T20:11:51,C,25
213,746,2021-12-31T20:18:23,A,32
214,750,2025-03-14T17:06:16,C,133
215,751,2024-05-01T03:29:33,A,228
216,753,2023-10-07T16:56:07,B,8
217,754,2023-08-27T04:54:57,C,54
218,756,2025-04-09T07:12:32,C,153
219,761,2024-06-22T04:23:58,B,231
220,763,2022-07-15T21:31:54,A,243
221,764,2021-11-17T20:13:23,A,235
222,767,2024-06-25T15:51:19,B,243
223,772,2026-01-04T23:11:37,B,200
224,773,2022-05-25T10:06:49,B,243
225,775,2023-02-18T03:51:59,A,92
226,776,2023-01-19T20:36:42,A,258
227,780,2022-04-06T17:14:10,A,155
228,781,2022-01-22T16:38:58,C,230
229,782,2024-01-11T15:08:28,A,14
230,785,2024-10-05T01:34:45,C,206
231,788,2023-09-06T22:47:20,A,19
232,791,2023-04-25T23:16:55,A,107
233,795,2022-08-21T03:25:17,C,68
234,796,2021-05-28T13:39:02,C,127
235,798,2021-07-28T09:36:37,B,9
236,799,2021-11-14T13:16:04,B,207
237,809,2024-05-12T08:29:10,A,179
238,811,2021-05-14T16:14:53,A,235
239,813,2024-09-11T05:38:37,A,54
240,814,2026-03-28T15:08:48,C,160
241,815,2025-04-08T13:27:09,C,90
242,817,2026-06-16T06:14:38,A,102
243,818,2024-09-26T16:34:59,B,264
244,821,2025-09-25T20:58:04,C,4
245,822,2022-04-27T11:25:25,A,1
246,824,2022-05-26T05:03:07,B,101
247,825,2024-06-08T00:29:21,A,115
248,828,2024-05-13T05:16:42,A,156
249,829,2024-03-28T02:11:45,A,63
250,831,2022-01-30T05:01:59,A,3
