CourtID,CourtName,DistrictID,StateID,Active
1,Bagalkot District & Sessions Court,1.0,1,1
2,Ballari District & Sessions Court,2.0,1,1
3,Belagavi District & Sessions Court,3.0,1,1
4,Bengaluru Rural District & Sessions Court,4.0,1,1
5,Bengaluru Urban District & Sessions Court,5.0,1,1
6,Bidar District & Sessions Court,6.0,1,1
7,Chamarajanagar District & Sessions Court,7.0,1,1
8,Chikkaballapur District & Sessions Court,8.0,1,1
9,Chikkamagaluru District & Sessions Court,9.0,1,1
10,Chitradurga District & Sessions Court,10.0,1,1
11,Dakshina Kannada District & Sessions Court,11.0,1,1
12,Davanagere District & Sessions Court,12.0,1,1
13,Dharwad District & Sessions Court,13.0,1,1
14,Gadag District & Sessions Court,14.0,1,1
15,Hassan District & Sessions Court,15.0,1,1
16,Haveri District & Sessions Court,16.0,1,1
17,"High Court of Karnataka, Bengaluru",,1,1
18,Kalaburagi District & Sessions Court,17.0,1,1
19,Kodagu District & Sessions Court,18.0,1,1
20,Kolar District & Sessions Court,19.0,1,1
21,Koppal District & Sessions Court,20.0,1,1
22,Mandya District & Sessions Court,21.0,1,1
23,Mysuru District & Sessions Court,22.0,1,1
24,Raichur District & Sessions Court,23.0,1,1
25,Ramanagara District & Sessions Court,24.0,1,1
26,Shivamogga District & Sessions Court,25.0,1,1
27,Tumakuru District & Sessions Court,26.0,1,1
28,Udupi District & Sessions Court,27.0,1,1
29,Uttara Kannada District & Sessions Court,28.0,1,1
30,Vijayanagara District & Sessions Court,29.0,1,1
31,Vijayapura District & Sessions Court,30.0,1,1
32,Yadgir District & Sessions Court,31.0,1,1
