CaseMasterID,IncidentFromDate,IncidentToDate,InfoReceivedPSDate,latitude,longitude,OccurrenceBriefFacts
1,2022-09-10T18:24:34,2022-09-10T23:24:34,2022-09-12T17:24:34,12.5041,76.9679,"Incident occurred near coordinates 12.5041, 76.9679 within the jurisdiction of Mandya Town PS."
2,2026-05-30T00:04:02,2026-05-30T06:04:02,2026-05-31T01:04:02,13.3025,77.5369,"Incident occurred near coordinates 13.3025, 77.5369 within the jurisdiction of Bengaluru Rural Rural PS."
3,2023-02-06T05:52:47,2023-02-06T10:52:47,2023-02-07T21:52:47,13.3704,74.7325,"Incident occurred near coordinates 13.3704, 74.7325 within the jurisdiction of Udupi Town PS."
4,2023-07-01T20:57:20,2023-07-01T23:57:20,2023-07-02T10:57:20,15.2069,76.8556,"Incident occurred near coordinates 15.2069, 76.8556 within the jurisdiction of Ballari Town PS."
5,2024-03-07T17:02:14,2024-03-07T23:02:14,2024-03-08T08:02:14,13.2632,74.6939,"Incident occurred near coordinates 13.2632, 74.6939 within the jurisdiction of Udupi Town PS."
6,2023-08-27T11:15:05,2023-08-27T14:15:05,2023-08-29T11:15:05,13.1518,78.0938,"Incident occurred near coordinates 13.1518, 78.0938 within the jurisdiction of Kolar Town PS."
7,2021-04-08T14:19:11,2021-04-08T20:19:11,2021-04-09T12:19:11,15.1561,76.9278,"Incident occurred near coordinates 15.1561, 76.9278 within the jurisdiction of Ballari Town PS."
8,2025-09-06T19:13:46,2025-09-06T19:13:46,2025-09-07T04:13:46,15.4938,75.636,"Incident occurred near coordinates 15.4938, 75.636 within the jurisdiction of Gadag Rural PS."
9,2023-09-02T08:04:11,2023-09-02T08:04:11,2023-09-02T16:04:11,11.9082,76.876,"Incident occurred near coordinates 11.9082, 76.876 within the jurisdiction of Chamarajanagar Rural PS."
10,2021-08-02T17:27:06,2021-08-02T18:27:06,2021-08-03T19:27:06,13.4338,77.8092,"Incident occurred near coordinates 13.4338, 77.8092 within the jurisdiction of Chikkaballapur Town PS."
11,2021-10-14T18:16:20,2021-10-14T23:16:20,2021-10-16T04:16:20,14.2483,76.3459,"Incident occurred near coordinates 14.2483, 76.3459 within the jurisdiction of Chitradurga Town PS."
12,2023-04-09T22:28:32,2023-04-09T23:28:32,2023-04-11T19:28:32,13.3151,74.718,"Incident occurred near coordinates 13.3151, 74.718 within the jurisdiction of Udupi Rural PS."
13,2023-03-03T09:29:12,2023-03-03T09:29:12,2023-03-05T10:29:12,15.4579,74.9564,"Incident occurred near coordinates 15.4579, 74.9564 within the jurisdiction of Dharwad Rural PS."
14,2024-10-05T17:49:26,2024-10-05T22:49:26,2024-10-06T11:49:26,12.6456,77.3045,"Incident occurred near coordinates 12.6456, 77.3045 within the jurisdiction of Ramanagara Rural PS."
15,2025-04-18T06:59:16,2025-04-18T09:59:16,2025-04-19T21:59:16,13.3779,77.7344,"Incident occurred near coordinates 13.3779, 77.7344 within the jurisdiction of Chikkaballapur Rural PS."
16,2023-11-10T10:36:27,2023-11-10T12:36:27,2023-11-11T21:36:27,14.2396,76.3229,"Incident occurred near coordinates 14.2396, 76.3229 within the jurisdiction of Chitradurga Town PS."
17,2025-10-20T12:06:59,2025-10-20T17:06:59,2025-10-20T14:06:59,15.1623,76.465,"Incident occurred near coordinates 15.1623, 76.465 within the jurisdiction of Vijayanagara Town PS."
18,2023-08-25T08:44:34,2023-08-25T08:44:34,2023-08-26T22:44:34,12.3272,75.8437,"Incident occurred near coordinates 12.3272, 75.8437 within the jurisdiction of Kodagu Town PS."
19,2026-01-15T18:06:34,2026-01-15T20:06:34,2026-01-16T21:06:34,16.1875,77.3664,"Incident occurred near coordinates 16.1875, 77.3664 within the jurisdiction of Raichur Rural PS."
20,2025-01-19T04:04:30,2025-01-19T09:04:30,2025-01-21T05:04:30,14.7478,75.3839,"Incident occurred near coordinates 14.7478, 75.3839 within the jurisdiction of Haveri Rural PS."
21,2023-07-29T02:42:19,2023-07-29T02:42:19,2023-07-31T04:42:19,14.2372,76.4351,"Incident occurred near coordinates 14.2372, 76.4351 within the jurisdiction of Chitradurga Rural PS."
22,2022-07-27T19:09:05,2022-07-27T19:09:05,2022-07-28T18:09:05,14.7152,75.4684,"Incident occurred near coordinates 14.7152, 75.4684 within the jurisdiction of Haveri Rural PS."
23,2025-08-19T21:30:51,2025-08-19T22:30:51,2025-08-21T16:30:51,15.362,76.1877,"Incident occurred near coordinates 15.362, 76.1877 within the jurisdiction of Koppal Town PS."
24,2024-12-31T06:30:55,2024-12-31T08:30:55,2025-01-01T11:30:55,16.7569,77.203,"Incident occurred near coordinates 16.7569, 77.203 within the jurisdiction of Yadgir Rural PS."
25,2025-09-08T09:32:01,2025-09-08T09:32:01,2025-09-10T00:32:01,12.3271,76.5715,"Incident occurred near coordinates 12.3271, 76.5715 within the jurisdiction of Saraswathipuram PS."
26,2025-08-01T07:28:43,2025-08-01T10:28:43,2025-08-02T08:28:43,17.3074,76.7959,"Incident occurred near coordinates 17.3074, 76.7959 within the jurisdiction of Kalaburagi Rural PS."
27,2023-11-18T20:57:19,2023-11-19T00:57:19,2023-11-20T20:57:19,16.7519,77.1907,"Incident occurred near coordinates 16.7519, 77.1907 within the jurisdiction of Yadgir Town PS."
28,2025-12-17T19:20:51,2025-12-17T20:20:51,2025-12-18T13:20:51,16.2351,77.3652,"Incident occurred near coordinates 16.2351, 77.3652 within the jurisdiction of Raichur Town PS."
29,2026-03-02T02:02:48,2026-03-02T08:02:48,2026-03-03T02:02:48,13.2579,75.6943,"Incident occurred near coordinates 13.2579, 75.6943 within the jurisdiction of Chikkamagaluru Rural PS."
30,2022-12-28T11:01:29,2022-12-28T14:01:29,2022-12-28T17:01:29,16.7707,75.6543,"Incident occurred near coordinates 16.7707, 75.6543 within the jurisdiction of Vijayapura Rural PS."
31,2022-03-11T06:31:47,2022-03-11T06:31:47,2022-03-11T11:31:47,14.2034,76.3985,"Incident occurred near coordinates 14.2034, 76.3985 within the jurisdiction of Chitradurga Rural PS."
32,2023-01-27T17:48:46,2023-01-27T18:48:46,2023-01-29T07:48:46,15.2529,76.439,"Incident occurred near coordinates 15.2529, 76.439 within the jurisdiction of Vijayanagara Rural PS."
33,2021-06-12T19:09:15,2021-06-12T20:09:15,2021-06-14T22:09:15,16.2316,75.6649,"Incident occurred near coordinates 16.2316, 75.6649 within the jurisdiction of Bagalkot Rural PS."
34,2025-01-28T03:28:46,2025-01-28T09:28:46,2025-01-29T08:28:46,16.8384,77.0592,"Incident occurred near coordinates 16.8384, 77.0592 within the jurisdiction of Yadgir Town PS."
35,2024-09-03T19:02:50,2024-09-03T19:02:50,2024-09-06T00:02:50,15.5106,75.6932,"Incident occurred near coordinates 15.5106, 75.6932 within the jurisdiction of Gadag Town PS."
36,2025-09-25T06:09:36,2025-09-25T08:09:36,2025-09-25T20:09:36,13.4433,77.7393,"Incident occurred near coordinates 13.4433, 77.7393 within the jurisdiction of Chikkaballapur Town PS."
37,2023-10-05T19:44:28,2023-10-06T01:44:28,2023-10-07T12:44:28,14.4015,75.9779,"Incident occurred near coordinates 14.4015, 75.9779 within the jurisdiction of Davanagere Town PS."
38,2026-01-17T19:17:42,2026-01-17T22:17:42,2026-01-19T10:17:42,15.4084,75.6901,"Incident occurred near coordinates 15.4084, 75.6901 within the jurisdiction of Gadag Town PS."
39,2024-08-30T23:57:55,2024-08-31T00:57:55,2024-08-31T11:57:55,16.146,75.6325,"Incident occurred near coordinates 16.146, 75.6325 within the jurisdiction of Bagalkot Rural PS."
40,2021-08-26T07:15:32,2021-08-26T11:15:32,2021-08-28T00:15:32,12.4665,76.9428,"Incident occurred near coordinates 12.4665, 76.9428 within the jurisdiction of Mandya Rural PS."
41,2022-04-15T00:11:58,2022-04-15T03:11:58,2022-04-15T08:11:58,16.8654,75.7326,"Incident occurred near coordinates 16.8654, 75.7326 within the jurisdiction of Vijayapura Rural PS."
42,2023-05-29T22:04:27,2023-05-30T01:04:27,2023-05-31T07:04:27,14.7839,74.7758,"Incident occurred near coordinates 14.7839, 74.7758 within the jurisdiction of Uttara Kannada Town PS."
43,2021-02-26T15:22:03,2021-02-26T17:22:03,2021-02-27T12:22:03,16.7879,75.6565,"Incident occurred near coordinates 16.7879, 75.6565 within the jurisdiction of Vijayapura Town PS."
44,2022-08-26T18:53:41,2022-08-26T20:53:41,2022-08-28T18:53:41,13.3303,77.0732,"Incident occurred near coordinates 13.3303, 77.0732 within the jurisdiction of Tumakuru Town PS."
45,2021-11-04T20:10:23,2021-11-05T02:10:23,2021-11-06T23:10:23,14.81,74.6846,"Incident occurred near coordinates 14.81, 74.6846 within the jurisdiction of Uttara Kannada Rural PS."
46,2023-07-25T15:27:39,2023-07-25T15:27:39,2023-07-25T20:27:39,13.2089,77.5501,"Incident occurred near coordinates 13.2089, 77.5501 within the jurisdiction of Bengaluru Rural Rural PS."
47,2025-11-08T23:46:15,2025-11-09T02:46:15,2025-11-09T16:46:15,16.128,75.6855,"Incident occurred near coordinates 16.128, 75.6855 within the jurisdiction of Bagalkot Rural PS."
48,2023-12-08T06:20:15,2023-12-08T07:20:15,2023-12-10T10:20:15,16.1181,75.6632,"Incident occurred near coordinates 16.1181, 75.6632 within the jurisdiction of Bagalkot Rural PS."
