ArrestSurrenderID,AccusedMasterID
1,1
1,2
1,3
2,5
3,12
3,13
4,15
5,17
5,18
6,19
7,23
7,24
7,25
8,28
9,29
9,30
10,34
10,35
11,36
12,37
12,38
12,39
12,40
13,44
13,45
14,48
14,49
15,51
15,52
15,53
16,54
17,55
17,56
18,63
19,64
19,65
20,67
20,68
21,69
22,70
23,72
24,73
25,74
25,75
26,77
27,82
28,83
29,84
29,85
30,86
31,87
31,88
32,89
32,90
33,108
34,120
35,123
36,127
37,130
37,131
37,132
38,134
39,135
40,147
41,149
41,150
42,158
43,159
43,160
43,161
44,163
44,164
45,166
46,176
47,178
48,182
49,187
50,189
51,192
51,193
52,196
52,197
52,198
53,201
53,202
54,204
55,211
56,212
56,213
57,219
58,225
58,226
59,232
60,237
61,241
62,247
63,250
63,251
64,252
64,253
64,254
65,257
66,263
67,266
68,272
69,273
69,274
70,277
71,285
72,291
72,292
72,293
73,296
74,306
75,308
75,309
75,310
76,313
76,314
76,315
77,316
77,317
77,318
78,320
79,322
80,324
81,328
81,329
81,330
82,332
82,333
83,338
84,339
84,340
84,341
85,342
86,356
87,358
88,363
89,368
90,369
91,377
91,378
92,383
93,387
93,388
93,389
94,391
95,393
95,394
96,400
97,401
97,402
98,404
99,405
100,408
101,410
101,411
101,412
102,417
103,418
104,420
105,425
106,428
106,429
106,430
107,433
108,437
109,446
110,448
110,449
111,450
112,451
113,460
114,461
115,463
116,467
117,475
118,478
119,479
119,480
120,481
120,482
121,485
122,487
123,492
123,493
124,494
124,495
125,496
125,497
126,498
127,500
128,503
129,504
130,506
131,508
132,511
132,512
133,513
134,514
135,518
135,519
136,521
137,525
138,526
139,530
139,531
140,536
141,538
142,542
143,543
143,544
143,545
144,549
144,550
145,563
146,564
147,575
148,576
149,577
150,579
151,586
151,587
151,588
152,589
152,590
153,595
154,613
155,614
156,619
157,624
157,625
158,630
159,632
160,633
161,634
161,635
162,640
163,646
164,650
165,651
166,652
167,653
168,654
168,655
168,656
169,657
169,658
170,664
171,666
172,667
173,668
174,670
175,672
175,673
176,676
177,677
177,678
178,679
179,686
180,691
181,697
182,702
183,705
183,706
184,713
185,714
186,715
186,716
187,719
188,724
189,726
190,727
191,733
191,734
192,735
192,736
193,743
193,744
194,748
194,749
195,753
196,762
197,769
198,775
198,776
199,782
200,783
201,784
202,785
203,787
204,788
204,789
204,790
204,791
205,794
205,795
205,796
205,797
206,805
206,806
206,807
207,818
207,819
208,820
208,821
209,825
210,827
210,828
211,831
212,834
213,836
214,837
215,842
216,845
217,851
218,856
219,861
220,863
221,865
222,866
222,867
222,868
222,869
223,870
224,872
224,873
224,874
225,876
226,877
227,882
228,887
229,890
230,894
231,896
232,897
233,904
234,913
234,914
235,915
236,916
237,920
238,929
239,930
240,931
240,932
240,933
240,934
241,935
242,936
243,938
244,942
245,943
246,946
246,947
246,948
247,954
248,956
249,959
250,960
251,963
252,968
252,969
253,970
254,971
254,972
255,976
256,979
257,980
258,990
258,991
259,993
259,994
260,995
261,997
262,1001
263,1002
263,1003
264,1004
264,1005
265,1007
266,1014
267,1015
268,1016
268,1017
269,1020
270,1026
271,1032
272,1041
273,1042
273,1043
273,1044
274,1045
274,1046
275,1050
276,1054
277,1055
278,1056
279,1058
280,1063
281,1066
282,1067
283,1068
284,1070
284,1071
285,1075
286,1086
287,1091
288,1095
289,1099
290,1102
291,1110
291,1111
292,1112
293,1113
294,1114
295,1120
296,1136
297,1137
298,1140
299,1143
300,1144
301,1145
302,1156
302,1157
303,1159
303,1160
304,1162
304,1163
305,1167
306,1178
307,1182
308,1187
309,1193
310,1198
310,1199
311,1200
312,1201
313,1204
314,1211
315,1212
316,1213
316,1214
316,1215
317,1216
318,1217
318,1218
318,1219
319,1221
319,1222
320,1230
320,1231
321,1247
321,1248
322,1250
323,1253
324,1256
325,1264
326,1265
326,1266
326,1267
326,1268
327,1269
328,1274
329,1277
330,1279
330,1280
331,1285
332,1286
333,1288
334,1289
335,1290
336,1291
337,1295
337,1296
337,1297
338,1304
339,1306
340,1307
341,1312
341,1313
342,1319
343,1320
344,1323
344,1324
345,1325
345,1326
345,1327
346,1329
347,1332
347,1333
348,1334
349,1335
349,1336
349,1337
350,1339
351,1340
352,1345
353,1349
354,1352
355,1357
356,1358
357,1361
358,1363
359,1370
360,1373
361,1377
362,1378
363,1380
364,1383
365,1384
366,1386
367,1388
368,1389
369,1393
370,1394
371,1396
371,1397
371,1398
372,1399
373,1401
374,1402
375,1404
376,1406
376,1407
377,1411
377,1412
378,1416
378,1417
379,1418
380,1421
380,1422
381,1423
381,1424
381,1425
382,1426
383,1430
384,1431
384,1432
384,1433
385,1437
386,1440
387,1445
388,1446
389,1456
389,1457
389,1458
390,1459
390,1460
391,1461
391,1462
391,1463
391,1464
392,1465
393,1473
394,1478
394,1479
394,1480
394,1481
395,1482
396,1495
397,1508
398,1510
399,1515
400,1517
400,1518
401,1526
402,1527
403,1528
404,1529
405,1539
405,1540
405,1541
406,1543
407,1548
408,1562
409,1565
410,1568
411,1569
411,1570
412,1577
413,1579
414,1581
414,1582
415,1584
416,1586
417,1589
418,1598
419,1603
419,1604
420,1612
420,1613
421,1615
421,1616
422,1619
422,1620
423,1623
424,1636
424,1637
425,1639
426,1646
427,1647
428,1655
429,1656
429,1657
430,1660
431,1668
432,1669
433,1673
434,1682
435,1691
436,1694
437,1695
438,1697
439,1706
440,1713
440,1714
440,1715
441,1717
441,1718
442,1720
443,1723
443,1724
444,1725
445,1729
446,1731
447,1735
447,1736
448,1737
449,1738
450,1743
451,1746
452,1753
453,1755
454,1757
455,1760
456,1768
457,1773
458,1778
459,1781
460,1782
460,1783
461,1786
462,1787
463,1791
464,1796
465,1797
466,1798
467,1803
468,1804
469,1805
470,1807
471,1812
471,1813
471,1814
472,1816
472,1817
473,1818
473,1819
474,1821
475,1829
476,1851
477,1855
478,1858
479,1863
480,1865
481,1870
482,1871
483,1875
484,1881
484,1882
484,1883
484,1884
485,1890
486,1891
487,1894
488,1895
489,1896
490,1898
491,1899
492,1907
493,1913
494,1916
495,1919
496,1927
497,1928
498,1930
499,1931
499,1932
500,1933
501,1937
501,1938
501,1939
502,1940
502,1941
503,1943
504,1944
505,1952
506,1955
507,1958
507,1959
507,1960
508,1962
509,1966
510,1967
511,1970
511,1971
512,1973
513,1975
513,1976
514,1978
515,1983
516,1987
516,1988
517,1989
518,1990
518,1991
519,1993
520,1994
521,1996
522,1998
523,2000
524,2007
524,2008
525,2011
526,2012
527,2022
527,2023
528,2024
529,2039
530,2040
530,2041
531,2042
532,2048
532,2049
532,2050
533,2053
534,2054
535,2057
536,2058
537,2060
537,2061
537,2062
537,2063
538,2064
539,2069
540,2070
541,2072
542,2073
543,2074
544,2077
545,2078
546,2081
546,2082
547,2087
548,2090
549,2091
550,2098
550,2099
551,2115
552,2117
553,2121
554,2122
555,2129
556,2132
557,2133
558,2135
559,2139
560,2140
561,2141
562,2146
563,2150
564,2151
565,2155
566,2156
567,2159
568,2162
568,2163
569,2165
570,2166
571,2167
572,2172
572,2173
573,2177
574,2179
575,2180
575,2181
576,2182
577,2183
578,2186
578,2187
578,2188
579,2189
580,2193
581,2198
581,2199
581,2200
582,2205
582,2206
583,2207
584,2210
585,2211
586,2215
587,2218
588,2220
589,2224
589,2225
590,2227
591,2234
592,2235
592,2236
593,2238
593,2239
594,2243
595,2246
596,2250
597,2252
598,2253
599,2256
599,2257
600,2261
601,2265
602,2266
603,2267
604,2268
605,2269
606,2270
607,2274
608,2279
609,2281
609,2282
609,2283
610,2285
610,2286
611,2288
611,2289
612,2291
613,2294
614,2298
615,2306
616,2308
617,2318
617,2319
618,2322
619,2328
620,2339
621,2347
622,2348
622,2349
623,2358
624,2359
625,2360
626,2362
626,2363
627,2364
628,2371
628,2372
629,2373
629,2374
630,2380
630,2381
631,2383
631,2384
631,2385
631,2386
632,2396
632,2397
633,2399
634,2402
635,2403
636,2405
636,2406
636,2407
637,2410
638,2411
639,2424
640,2426
640,2427
640,2428
641,2429
642,2432
642,2433
643,2434
643,2435
644,2449
645,2451
646,2455
647,2456
648,2457
648,2458
648,2459
649,2464
650,2466
651,2468
652,2471
653,2472
653,2473
653,2474
653,2475
654,2480
654,2481
654,2482
655,2485
656,2486
657,2503
657,2504
658,2505
659,2520
659,2521
660,2524
661,2525
661,2526
662,2533
663,2537
664,2540
665,2543
665,2544
665,2545
666,2546
667,2556
668,2560
669,2561
670,2564
670,2565
671,2575
672,2576
672,2577
673,2589
673,2590
673,2591
674,2593
675,2596
676,2597
677,2604
678,2608
679,2609
680,2613
681,2615
681,2616
682,2617
683,2618
684,2619
685,2625
686,2627
687,2628
688,2629
688,2630
688,2631
689,2634
690,2637
691,2638
692,2642
692,2643
693,2645
694,2649
695,2652
696,2660
697,2661
698,2662
698,2663
699,2667
699,2668
700,2670
700,2671
701,2672
702,2676
702,2677
703,2680
704,2682
705,2691
706,2695
707,2697
708,2700
708,2701
709,2702
710,2704
711,2711
711,2712
712,2713
712,2714
713,2717
714,2720
715,2723
716,2728
717,2731
718,2733
719,2736
720,2738
721,2741
722,2743
723,2745
724,2746
725,2747
726,2749
727,2750
727,2751
727,2752
728,2754
729,2760
730,2762
731,2779
731,2780
731,2781
731,2782
732,2785
733,2788
734,2794
735,2795
736,2804
736,2805
736,2806
737,2808
737,2809
738,2810
738,2811
739,2813
740,2814
740,2815
741,2816
742,2820
743,2821
744,2828
745,2840
746,2843
747,2850
748,2860
749,2872
750,2877
750,2878
751,2879
752,2881
752,2882
753,2884
754,2887
755,2888
756,2890
757,2891
757,2892
758,2895
758,2896
759,2902
760,2904
761,2907
761,2908
762,2909
763,2910
764,2913
764,2914
764,2915
765,2919
766,2927
766,2928
767,2930
768,2938
769,2945
769,2946
770,2951
770,2952
771,2961
771,2962
772,2966
773,2967
773,2968
774,2974
774,2975
775,2983
776,2985
777,2986
778,2987
779,2988
780,2993
781,2995
782,2996
783,2997
784,3003
785,3004
785,3005
786,3006
787,3011
787,3012
788,3015
788,3016
789,3018
789,3019
789,3020
790,3023
791,3025
792,3030
793,3032
794,3034
795,3036
796,3039
796,3040
797,3041
798,3044
798,3045
798,3046
799,3054
799,3055
799,3056
799,3057
800,3058
801,3065
801,3066
801,3067
802,3072
803,3073
804,3074
805,3079
806,3082
807,3084
807,3085
808,3086
809,3100
809,3101
809,3102
810,3103
810,3104
811,3105
811,3106
811,3107
811,3108
812,3109
813,3110
814,3112
815,3116
816,3120
817,3121
817,3122
818,3125
819,3131
820,3140
821,3141
822,3142
823,3144
824,3147
825,3149
826,3151
827,3153
828,3156
829,3157
830,3158
831,3173
832,3182
832,3183
832,3184
833,3186
833,3187
834,3188
834,3189
835,3190
835,3191
836,3202
836,3203
836,3204
836,3205
837,3206
837,3207
837,3208
838,3212
839,3216
840,3218
841,3225
842,3227
843,3230
844,3231
845,3235
846,3237
846,3238
847,3240
848,3241
849,3242
849,3243
849,3244
849,3245
850,3246
851,3249
852,3252
853,3257
854,3258
855,3261
855,3262
856,3265
857,3268
858,3272
859,3273
860,3278
861,3280
862,3281
863,3282
864,3292
865,3294
866,3295
867,3306
868,3308
869,3310
870,3315
870,3316
871,3321
872,3324
873,3325
874,3326
875,3332
875,3333
876,3334
877,3335
878,3338
879,3346
880,3347
881,3349
882,3351
883,3352
884,3357
885,3359
886,3361
887,3362
888,3363
889,3367
890,3368
891,3373
892,3386
893,3393
894,3394
895,3397
895,3398
895,3399
896,3403
896,3404
897,3407
898,3408
899,3415
899,3416
900,3417
901,3419
902,3427
903,3428
904,3437
904,3438
905,3439
906,3442
907,3445
908,3446
909,3447
909,3448
909,3449
910,3451
910,3452
911,3453
912,3460
913,3461
914,3463
914,3464
914,3465
915,3466
916,3477
917,3479
918,3485
918,3486
919,3490
920,3491
920,3492
921,3501
922,3502
923,3510
924,3515
925,3516
926,3526
926,3527
927,3529
927,3530
927,3531
928,3532
928,3533
928,3534
929,3535
930,3536
931,3537
931,3538
931,3539
932,3540
933,3546
934,3547
935,3557
936,3567
936,3568
937,3573
938,3574
939,3576
940,3582
941,3594
942,3595
943,3599
944,3600
945,3607
946,3608
947,3621
947,3622
947,3623
947,3624
948,3626
948,3627
949,3631
950,3642
951,3646
951,3647
952,3648
953,3649
954,3650
954,3651
955,3653
955,3654
956,3660
956,3661
957,3667
958,3674
959,3681
959,3682
960,3684
961,3693
962,3705
963,3714
964,3716
965,3721
966,3724
967,3729
968,3731
969,3733
970,3735
971,3751
972,3753
973,3760
973,3761
973,3762
974,3763
975,3768
975,3769
976,3770
977,3773
978,3774
978,3775
978,3776
978,3777
979,3778
979,3779
979,3780
980,3784
980,3785
981,3787
982,3792
982,3793
983,3794
984,3795
985,3796
986,3797
986,3798
987,3801
988,3803
989,3804
989,3805
990,3807
991,3817
991,3818
992,3819
992,3820
993,3829
994,3831
995,3833
996,3835
996,3836
996,3837
997,3838
998,3839
999,3846
1000,3849
1000,3850
1001,3859
1001,3860
1002,3862
1002,3863
