CaseMasterID,DistrictID,PoliceStationID,CrimeMajorHeadID,CrimeMinorHeadID,gravity_offence_id,latitude,longitude,hour_of_day,day_of_week,month,is_weekend,is_night_time,hist_station_crime_count_30d,hist_district_crime_count_30d,risk_tier_id
1,15,1,5,1,2,12.3725,76.683,3,3,12,0,1,786,908,3
2,13,2,2,2,1,12.5194,76.9713,23,1,8,0,1,818,904,3
3,8,3,2,3,2,14.4453,75.957,15,6,2,1,0,778,778,3
4,16,4,3,4,2,12.6401,77.2402,14,3,2,0,0,782,872,3
5,2,5,2,3,2,15.1807,76.888,8,6,4,1,0,763,934,3
6,17,6,2,2,2,13.8812,75.5733,1,4,8,0,1,869,951,3
7,19,7,1,5,1,13.2713,74.7601,9,2,8,0,0,887,963,2
8,3,8,5,1,2,15.774,74.5318,20,0,9,0,0,790,972,3
9,20,9,1,6,2,16.7507,75.7565,19,1,10,0,0,816,897,3
10,15,1,1,6,1,12.2984,76.5718,0,2,6,0,1,786,908,3
11,17,6,1,7,2,13.8518,75.5792,16,1,7,0,0,869,951,3
12,3,8,2,2,2,15.7944,74.4281,6,5,5,1,0,790,972,3
13,17,6,3,8,1,13.8519,75.6216,13,4,3,0,0,869,951,2
14,9,10,5,9,2,12.9397,76.1343,16,4,7,0,0,838,926,3
15,4,11,5,9,1,13.3267,77.5154,17,1,2,0,0,767,913,2
16,14,12,4,10,1,12.8961,74.8544,22,1,7,0,1,778,778,3
17,8,3,4,10,2,14.4068,75.9372,22,3,11,0,1,778,778,3
18,15,1,4,10,1,12.2675,76.6695,14,5,4,1,0,786,908,2
19,14,12,5,11,1,12.8987,74.8618,17,6,6,1,0,778,778,2
20,18,13,2,12,2,13.4089,77.0846,23,2,4,0,1,834,916,3
21,13,2,4,10,2,12.5037,76.927,16,5,2,1,0,818,904,3
22,12,14,1,7,1,13.0974,78.083,7,2,11,0,0,835,908,2
23,8,3,2,12,2,14.4102,75.8927,4,2,12,0,1,778,778,3
24,9,10,3,4,1,13.0418,76.0807,20,5,2,1,0,838,926,2
25,10,15,3,8,1,15.2917,75.1535,17,5,9,1,0,826,826,2
26,9,10,1,7,2,12.9609,76.1736,18,4,3,0,0,838,926,3
27,10,15,4,10,2,15.3342,75.1804,21,0,3,0,0,826,826,3
28,16,4,1,5,1,12.7823,77.2947,23,0,1,0,1,782,872,3
29,5,16,3,8,2,12.9217,77.5627,5,5,7,1,1,761,925,3
30,8,3,3,4,1,14.4113,75.8673,12,4,3,0,0,778,778,2
31,2,5,1,5,1,15.0772,76.9607,22,3,2,0,1,763,934,2
32,3,8,3,4,2,15.9039,74.453,19,6,2,1,0,790,972,3
33,5,16,3,8,1,12.9865,77.592,11,6,1,1,0,761,925,2
34,15,1,3,4,2,12.2399,76.5803,10,0,4,0,0,786,908,3
35,19,7,2,12,2,13.3701,74.8,11,5,9,1,0,887,963,3
36,15,1,2,12,2,12.3422,76.6209,1,2,8,0,1,786,908,3
37,11,17,2,3,2,17.3288,76.8474,19,4,11,0,0,717,873,3
38,12,14,1,6,1,13.1051,78.1369,7,6,3,1,0,835,908,2
39,14,12,1,7,2,12.849,74.8462,8,6,8,1,0,778,778,3
40,20,9,2,2,1,16.8133,75.7851,5,3,5,0,1,816,897,3
41,17,6,3,8,1,13.9741,75.5279,15,4,6,0,0,869,951,2
42,6,18,1,5,1,17.9763,77.4543,8,6,1,1,0,840,922,2
43,18,13,2,2,1,13.4057,77.0876,15,3,5,0,0,834,916,2
44,3,8,1,6,1,15.8824,74.5512,21,4,12,0,0,790,972,2
45,9,10,4,10,2,12.9923,76.0344,7,3,6,0,0,838,926,3
46,8,3,3,4,2,14.529,75.9734,19,2,8,0,0,778,778,3
47,12,14,1,6,2,13.0805,78.103,21,0,8,0,0,835,908,3
48,16,4,5,11,2,12.6353,77.213,5,0,4,0,1,782,872,3
49,18,13,3,4,2,13.3322,77.0241,16,2,6,0,0,834,916,3
50,20,9,4,10,2,16.8613,75.6728,7,1,10,0,0,816,897,3
51,11,17,2,3,2,17.3858,76.8218,1,0,10,0,1,717,873,3
52,1,19,5,1,2,16.2282,75.7613,21,0,7,0,0,716,716,3
53,7,20,1,6,1,13.2999,75.7125,9,3,7,0,0,704,879,2
54,6,18,2,12,1,17.9643,77.5349,15,0,2,0,0,840,922,2
55,15,1,5,11,1,12.2868,76.6844,16,6,5,1,0,786,908,2
56,6,18,1,7,2,17.8889,77.5413,23,5,7,1,1,840,922,3
57,15,1,3,8,2,12.2881,76.6536,21,4,3,0,0,786,908,3
