grid_lat,grid_lon,district_id,police_station_id,prior_7d_crime_count,prior_30d_crime_count,prior_90d_crime_count,prior_180d_crime_count,spatial_density_ratio,peak_hour_window_id,is_future_hotspot
12.200000000000001,76.55,15,1,0,0,1,1,0.0,0,0
12.200000000000001,76.60000000000001,15,1,0,1,3,4,2.917,0,0
12.200000000000001,76.65,15,1,0,0,0,0,0.0,3,0
12.200000000000001,76.7,15,1,0,0,0,2,0.0,3,0
12.25,76.55,15,1,0,0,2,4,0.0,0,0
12.25,76.60000000000001,15,1,1,2,6,7,5.833,0,0
12.25,76.65,15,1,0,1,6,9,2.917,0,1
12.25,76.7,15,1,2,3,6,8,8.75,0,1
12.350000000000001,76.55,15,1,0,0,1,2,0.0,2,0
12.350000000000001,76.60000000000001,15,1,0,0,1,5,0.0,1,1
12.350000000000001,76.65,15,1,1,2,4,7,5.833,0,1
12.350000000000001,76.7,15,1,1,2,3,7,5.833,0,0
12.3,76.55,15,1,0,0,0,0,0.0,2,0
12.3,76.60000000000001,15,1,0,0,2,8,0.0,0,0
12.3,76.65,15,1,0,1,3,14,2.917,0,1
12.3,76.7,15,1,0,0,1,7,0.0,0,1
12.450000000000001,76.80000000000001,13,2,0,0,0,0,0.0,0,0
12.450000000000001,76.85000000000001,13,2,0,1,4,4,2.333,0,1
12.450000000000001,76.9,13,2,0,3,5,8,7.0,0,1
12.450000000000001,76.95,13,2,0,0,2,3,0.0,1,0
12.4,76.60000000000001,15,1,0,0,0,0,0.0,3,0
12.55,76.80000000000001,13,2,1,1,1,2,2.333,0,0
12.55,76.85000000000001,13,2,1,2,5,8,4.667,0,0
12.55,76.9,13,2,0,1,6,9,2.333,2,0
12.55,76.95,13,2,0,2,6,10,4.667,0,1
12.5,76.80000000000001,13,2,0,0,0,1,0.0,3,0
12.5,76.85000000000001,13,2,0,0,1,6,0.0,0,0
12.5,76.9,13,2,0,0,3,9,0.0,0,1
12.5,76.95,13,2,0,1,2,10,2.333,2,0
12.600000000000001,76.80000000000001,13,2,0,1,1,2,2.333,0,0
12.600000000000001,76.85000000000001,13,2,0,1,4,7,2.333,2,0
12.600000000000001,76.9,13,2,1,1,6,8,2.333,0,0
12.600000000000001,76.95,13,2,1,1,3,5,2.333,0,0
12.65,77.2,16,4,0,1,2,4,2.5,1,0
12.65,77.25,16,4,0,1,3,8,2.5,0,1
12.65,77.30000000000001,16,4,0,0,8,11,0.0,2,0
12.65,77.35000000000001,16,4,0,0,1,3,0.0,0,0
12.700000000000001,77.2,16,4,0,0,3,4,0.0,0,0
12.700000000000001,77.25,16,4,1,2,4,10,5.0,0,0
