age_years,gender_id,district_id,police_station_id,initial_gravity_offence_id,initial_crime_major_head_id,initial_crime_minor_head_id,initial_hour_of_day,initial_day_of_week,initial_month,initial_is_weekend,initial_is_night_time,initial_co_offender_count,recidivism_flag
23,1,6,18,1,2,3,11,5,4,1,0,1,0
30,1,13,2,1,2,2,23,0,7,0,1,2,1
32,1,15,1,2,5,9,23,2,11,0,1,1,0
62,1,5,16,1,2,2,7,2,12,0,0,3,0
73,1,3,8,2,3,4,10,3,1,0,0,1,1
18,2,13,2,1,3,8,12,3,6,0,0,1,0
20,2,20,9,1,1,5,12,0,7,0,0,2,0
21,2,1,19,1,5,11,0,6,1,1,1,3,0
30,2,19,7,1,2,3,16,0,7,0,0,1,1
40,2,10,15,2,5,11,18,5,1,1,0,1,0
47,2,13,2,2,1,5,21,2,4,0,0,1,0
18,3,15,1,1,5,1,9,2,12,0,0,2,0
22,3,19,7,1,4,10,8,1,4,0,0,1,0
26,3,14,12,1,1,7,6,5,9,1,0,2,0
27,3,15,1,2,1,6,3,4,6,0,1,2,0
30,3,8,3,1,1,7,15,4,5,0,0,1,1
51,3,18,13,2,1,7,16,0,8,0,0,2,0
53,3,1,19,1,1,7,8,6,11,1,0,1,0
18,1,5,16,1,2,2,11,2,10,0,0,1,0
30,1,17,6,1,1,6,15,0,3,0,0,1,1
33,1,8,3,2,1,6,5,3,4,0,1,1,0
42,1,8,3,2,1,5,21,2,10,0,0,3,0
45,1,8,3,1,3,8,0,4,11,0,1,1,0
56,1,9,10,2,2,2,13,4,10,0,0,1,0
63,1,4,11,2,3,4,19,4,5,0,0,1,0
23,2,7,20,2,3,8,13,5,5,1,0,1,0
24,2,1,19,2,5,1,10,6,8,1,0,1,0
30,2,9,10,1,5,11,20,6,2,1,0,1,1
37,2,14,12,2,4,10,14,1,1,0,0,1,0
50,2,13,2,2,5,11,15,4,10,0,0,1,0
67,2,8,3,2,1,7,12,2,4,0,0,1,0
18,3,16,4,2,5,1,23,6,2,1,1,1,0
24,3,6,18,1,1,7,0,3,2,0,1,1,0
30,3,19,7,2,5,11,20,4,1,0,0,1,1
36,3,6,18,1,2,3,4,0,11,0,1,2,0
53,3,6,18,2,1,6,3,4,1,0,1,2,0
69,3,2,5,1,1,5,2,2,2,0,1,2,0
20,1,16,4,2,2,3,22,6,9,1,1,1,0
27,1,10,15,2,5,11,8,4,9,0,0,1,0
30,1,2,5,2,3,8,15,0,12,0,0,3,1
40,1,5,16,1,1,6,10,4,4,0,0,1,0
44,1,6,18,2,3,4,10,1,9,0,0,2,0
52,1,2,5,1,3,4,9,1,6,0,0,1,0
56,1,6,18,2,5,9,22,6,11,1,1,2,0
67,1,9,10,2,1,7,16,3,10,0,0,2,0
24,2,4,11,2,5,11,22,4,3,0,1,2,0
26,2,12,14,1,1,5,13,5,10,1,0,1,0
30,2,11,17,1,3,4,5,3,9,0,1,2,1
31,2,3,8,1,1,5,12,3,2,0,0,3,0
71,2,20,9,1,2,12,2,6,12,1,1,1,0
19,3,20,9,1,3,4,5,5,9,1,1,2,0
30,3,17,6,2,1,5,22,0,9,0,1,1,1
52,3,1,19,2,3,4,16,5,4,1,0,2,0
30,1,15,1,2,1,7,13,5,7,1,0,3,1
45,1,1,19,2,3,8,20,2,3,0,0,1,0
63,1,2,5,2,2,12,11,0,3,0,0,3,1
68,1,1,19,2,5,9,12,6,8,1,0,2,0
69,1,14,12,1,1,6,15,3,1,0,0,2,0
30,2,9,10,2,1,7,20,0,8,0,0,1,1
32,2,19,7,1,2,12,8,4,12,0,0,2,0
40,2,7,20,2,5,11,23,3,10,0,1,1,0
47,2,3,8,2,5,11,8,4,3,0,0,2,0
65,2,17,6,2,2,12,1,1,7,0,1,2,0
19,3,8,3,1,3,4,14,3,9,0,0,2,0
23,3,4,11,2,3,4,2,4,3,0,1,2,1
24,3,13,2,2,5,9,20,0,2,0,0,3,0
30,3,10,15,2,3,8,18,0,3,0,0,2,1
32,3,10,15,2,2,12,7,2,8,0,0,3,0
34,3,14,12,2,2,3,2,3,3,0,1,2,0
18,1,3,8,1,5,9,10,1,8,0,0,1,0
25,1,14,12,1,5,1,11,4,10,0,0,1,0
29,1,18,13,1,1,7,20,0,9,0,0,1,0
30,1,14,12,2,5,9,22,1,1,0,1,3,1
33,1,18,13,1,1,5,18,2,5,0,0,2,0
60,1,8,3,1,5,1,5,3,5,0,1,3,0
64,1,13,2,1,1,7,6,6,9,1,0,3,0
25,2,5,16,2,4,10,9,3,11,0,0,2,0
30,2,1,19,1,2,12,23,1,9,0,1,2,1
47,2,6,18,2,3,4,0,5,5,1,1,3,0
54,2,7,20,1,3,8,14,4,9,0,0,2,0
56,2,1,19,2,3,4,6,3,5,0,0,2,0
57,2,10,15,1,5,11,17,0,9,0,0,1,0
61,2,10,15,2,5,9,20,2,4,0,0,3,0
63,2,14,12,2,2,3,10,5,10,1,0,1,0
69,2,14,12,1,2,2,6,1,1,0,0,2,0
72,2,19,7,1,1,6,10,5,2,1,0,3,0
30,3,17,6,2,3,4,10,3,5,0,0,2,1
34,3,2,5,1,2,2,10,4,11,0,0,3,0
40,3,4,11,2,5,1,1,1,2,0,1,1,0
44,3,7,20,2,2,12,7,6,7,1,0,2,0
55,3,6,18,1,2,12,13,1,4,0,0,1,0
75,3,15,1,1,1,5,23,0,7,0,1,1,0
19,1,16,4,1,3,8,1,2,4,0,1,2,0
30,1,3,8,1,3,4,10,6,4,1,0,3,1
34,1,8,3,1,1,6,15,2,8,0,0,2,0
59,1,5,16,2,3,8,20,4,12,0,0,1,0
64,1,8,3,2,4,10,5,0,7,0,1,3,0
65,1,7,20,1,1,6,5,1,9,0,1,3,0
75,1,8,3,1,2,3,9,5,5,1,0,1,0
30,2,12,14,1,5,1,14,0,2,0,0,1,1
35,2,20,9,1,3,4,2,0,9,0,1,2,0
37,2,11,17,2,5,9,3,0,10,0,1,1,0
53,2,4,11,1,5,11,21,3,11,0,0,2,0
59,2,4,11,2,2,3,19,4,7,0,0,3,0
71,2,4,11,2,5,9,12,1,12,0,0,1,0
18,3,1,19,1,1,7,2,6,9,1,1,2,0
30,3,13,2,1,1,6,18,6,2,1,0,2,1
35,3,18,13,2,4,10,22,3,9,0,1,3,1
52,3,11,17,2,2,12,16,3,1,0,0,2,0
68,3,2,5,1,5,9,14,5,11,1,0,3,0
25,1,10,15,1,5,9,15,6,6,1,0,2,0
30,1,5,16,1,1,5,4,3,1,0,1,2,1
38,1,5,16,1,1,7,23,4,12,0,1,1,0
41,1,5,16,1,4,10,20,2,2,0,0,2,0
44,1,13,2,2,1,7,23,4,7,0,1,1,0
61,1,17,6,1,3,8,19,4,12,0,0,3,0
67,1,17,6,1,2,3,23,4,3,0,1,1,0
18,2,20,9,1,4,10,12,6,10,1,0,1,0
30,2,19,7,2,2,12,17,2,5,0,0,2,1
34,2,4,11,1,3,4,20,1,11,0,0,1,0
36,2,6,18,2,5,11,0,0,11,0,1,2,0
39,2,13,2,1,3,8,20,3,9,0,0,3,0
43,2,6,18,2,5,11,8,6,6,1,0,2,0
45,2,15,1,2,5,11,0,3,10,0,1,3,0
56,2,2,5,2,1,5,13,6,5,1,0,2,1
57,2,12,14,1,1,6,16,4,2,0,0,1,0
18,3,9,10,1,1,7,10,0,11,0,0,2,0
19,3,19,7,1,5,11,1,5,12,1,1,2,0
20,3,6,18,1,1,5,12,0,10,0,0,2,0
30,3,9,10,2,3,4,18,3,10,0,0,1,1
27,1,20,9,1,2,12,19,1,5,0,0,2,0
30,1,15,1,2,1,5,10,2,4,0,0,1,1
48,1,2,5,2,4,10,1,3,7,0,1,1,0
63,1,6,18,2,1,6,7,5,5,1,0,1,0
25,2,4,11,2,1,7,16,2,1,0,0,2,0
27,2,7,20,1,2,12,1,6,8,1,1,2,0
30,2,16,4,2,3,8,15,3,1,0,0,2,1
38,2,13,2,2,4,10,1,2,7,0,1,1,0
39,2,16,4,2,4,10,6,3,9,0,0,3,0
44,2,18,13,2,2,12,21,0,6,0,0,2,0
60,2,20,9,2,5,9,14,6,7,1,0,1,0
25,3,10,15,2,2,12,22,5,9,1,1,1,0
30,3,10,15,2,3,8,18,0,3,0,0,2,1
47,3,5,16,1,3,8,6,5,11,1,0,2,0
53,3,1,19,2,5,11,5,5,1,1,1,3,0
59,3,5,16,2,2,12,10,4,10,0,0,2,0
73,3,1,19,1,3,4,23,0,6,0,1,1,0
22,1,9,10,2,3,4,16,5,12,1,0,1,0
25,1,4,11,1,5,11,10,0,1,0,0,2,0
26,1,11,17,1,1,5,12,6,10,1,0,2,0
30,1,12,14,1,4,10,20,3,3,0,0,1,1
37,1,5,16,1,5,9,12,2,7,0,0,1,0
44,1,10,15,2,5,9,2,1,8,0,1,3,0
55,1,3,8,2,1,7,11,5,3,1,0,2,0
57,1,16,4,1,5,11,19,0,9,0,0,1,0
60,1,18,13,1,3,4,16,1,8,0,0,1,0
22,2,20,9,2,3,4,9,0,10,0,0,2,0
29,2,10,15,1,5,1,14,4,5,0,0,1,0
30,2,18,13,2,3,8,14,4,12,0,0,1,0
67,2,3,8,2,2,12,4,1,4,0,1,2,0
30,3,11,17,2,1,5,21,1,11,0,0,2,1
37,3,12,14,2,3,8,21,2,1,0,0,2,0
41,3,16,4,2,3,8,15,0,10,0,0,2,0
46,3,6,18,1,5,1,2,0,10,0,1,2,0
55,3,2,5,2,2,12,23,4,1,0,1,1,0
64,3,11,17,1,1,6,6,1,6,0,0,1,0
67,3,11,17,1,2,3,2,4,5,0,1,2,0
68,3,6,18,2,3,4,13,0,5,0,0,2,1
73,3,12,14,2,2,3,8,4,4,0,0,2,0
75,3,19,7,1,4,10,19,4,8,0,0,2,0
22,1,17,6,2,2,3,11,2,2,0,0,2,0
30,1,6,18,1,1,7,23,4,5,0,1,3,1
36,1,6,18,1,3,8,6,1,7,0,0,1,0
40,1,4,11,1,5,9,1,4,9,0,1,2,0
41,1,14,12,1,4,10,15,4,1,0,0,2,0
48,1,3,8,1,1,7,19,4,1,0,0,1,0
67,1,17,6,1,2,12,11,4,5,0,0,1,0
19,2,9,10,1,4,10,16,6,12,1,0,2,1
30,2,13,2,2,1,5,15,2,5,0,0,2,1
42,2,7,20,2,5,11,23,2,1,0,1,1,0
43,2,6,18,1,3,8,22,0,5,0,1,2,0
44,2,4,11,2,5,11,11,2,4,0,0,3,0
48,2,3,8,1,5,11,14,3,5,0,0,1,0
49,2,5,16,1,2,2,14,5,5,1,0,3,0
69,2,5,16,1,5,11,10,4,12,0,0,2,0
70,2,12,14,1,5,1,7,0,9,0,0,3,0
75,2,13,2,1,1,6,17,1,4,0,0,2,0
21,3,16,4,1,1,7,11,0,7,0,0,1,0
23,3,8,3,1,5,1,16,6,2,1,0,1,0
28,3,14,12,1,4,10,17,2,2,0,0,2,0
30,3,18,13,2,5,11,6,6,3,1,0,3,1
31,3,14,12,1,5,11,14,6,4,1,0,2,0
39,3,13,2,1,5,11,2,6,2,1,1,1,0
49,3,9,10,2,5,11,13,0,4,0,0,1,0
54,3,7,20,1,1,7,15,6,6,1,0,1,0
62,3,20,9,1,2,12,19,4,5,0,0,2,1
71,3,5,16,1,3,4,15,4,3,0,0,3,0
30,1,12,14,1,2,12,1,0,10,0,1,2,1
42,1,2,5,1,5,9,16,6,12,1,0,3,0
51,1,18,13,1,4,10,6,2,2,0,0,2,0
52,1,5,16,2,3,4,16,6,9,1,0,2,0
59,1,18,13,1,3,8,13,5,7,1,0,3,0
70,1,13,2,2,2,2,22,6,9,1,1,2,0
72,1,15,1,2,5,1,22,3,9,0,1,3,0
75,1,17,6,2,5,9,13,6,2,1,0,2,0
30,2,17,6,2,1,6,8,5,2,1,0,2,1
32,2,18,13,1,3,8,7,3,7,0,0,2,0
34,2,11,17,2,5,1,4,0,1,0,1,1,0
36,2,7,20,1,3,4,20,1,11,0,0,1,0
62,2,7,20,1,5,11,4,0,11,0,1,2,0
63,2,12,14,1,5,9,17,0,8,0,0,2,0
67,2,6,18,1,3,8,11,0,9,0,0,3,0
75,2,9,10,2,5,9,11,3,10,0,0,1,0
22,3,16,4,2,5,9,18,3,3,0,0,1,0
25,3,19,7,1,3,4,20,4,2,0,0,3,0
30,3,17,6,2,4,10,5,5,11,1,1,1,1
48,3,2,5,1,2,2,8,3,4,0,0,3,0
52,3,19,7,1,5,9,12,5,5,1,0,2,0
56,3,3,8,1,5,9,0,6,5,1,1,1,0
21,1,6,18,2,1,7,4,3,12,0,1,2,0
25,1,10,15,2,1,6,10,4,1,0,0,1,0
26,1,5,16,2,1,5,10,4,5,0,0,2,0
30,1,3,8,1,1,7,11,2,7,0,0,2,1
48,1,5,16,1,2,3,22,5,10,1,1,2,0
63,1,16,4,1,3,4,7,4,2,0,0,3,0
65,1,12,14,1,5,9,1,6,1,1,1,1,0
30,2,5,16,1,2,12,7,5,7,1,0,3,1
40,2,15,1,1,2,2,14,3,6,0,0,1,0
45,2,3,8,1,5,11,7,2,8,0,0,1,0
58,2,7,20,2,5,9,12,1,1,0,0,3,0
71,2,17,6,1,4,10,19,1,4,0,0,3,0
18,3,16,4,2,3,8,4,6,9,1,1,3,0
20,3,5,16,2,2,3,8,2,11,0,0,2,0
27,3,5,16,1,5,1,18,4,12,0,0,2,0
28,3,20,9,1,5,11,17,0,6,0,0,1,0
30,3,17,6,2,5,9,16,5,2,1,0,2,1
34,3,7,20,2,1,5,3,0,8,0,1,2,0
36,3,7,20,1,2,12,21,2,8,0,0,1,0
37,3,1,19,1,3,8,9,5,1,1,0,2,0
51,3,12,14,2,1,6,9,6,2,1,0,2,0
62,3,19,7,1,2,3,16,1,5,0,0,2,0
64,3,4,11,2,1,5,11,3,1,0,0,1,0
22,1,5,16,2,1,7,15,0,1,0,0,1,0
28,1,20,9,1,4,10,3,2,8,0,1,1,0
29,1,12,14,2,1,6,16,4,3,0,0,2,0
30,1,6,18,1,5,1,20,0,6,0,0,1,1
35,1,6,18,2,5,9,12,0,4,0,0,1,0
45,1,9,10,2,1,6,11,6,11,1,0,2,0
69,1,3,8,2,2,3,3,1,3,0,1,1,0
74,1,12,14,2,5,1,10,5,2,1,0,2,0
20,2,8,3,2,3,8,18,6,12,1,0,1,0
27,2,16,4,2,2,3,18,6,4,1,0,2,0
29,2,11,17,2,2,3,18,0,3,0,0,3,1
30,2,15,1,1,5,11,11,2,12,0,0,3,1
